endTime,artistName,trackName,msPlayed
4/5/20 20:03,Jukebox The Ghost,Everybody's Lonely,185693
4/5/20 20:23,Ben Rector,Extraordinary Magic,173040
4/5/20 20:27,Joe Hertler & The Rainbow Seekers,Find Me,257786
4/5/20 20:30,Morningsiders,Empress,199742
4/5/20 20:34,PEABOD,Steady,233346
4/5/20 20:37,Stephen Day,All the Time in the World,163146
4/5/20 20:40,Jordy Searcy,Just Like Autumn,215080
4/5/20 20:44,HARBOUR,Get You High,234176
4/5/20 20:48,Hippo Campus,Buttercup,226610
4/5/20 20:49,Vulfpeck,Animal Spirits,64932
4/5/20 20:52,Jukebox The Ghost,Hollywood,3401
4/5/20 20:52,The Mowgli's,Hard to Love,2240
4/5/20 20:52,Colony House,You Know It,153774
4/5/20 20:52,The Shadowboxers,Honeymoon,22627
4/5/20 20:53,American Authors,Do My Own Thing,49771
4/5/20 20:57,Elliot Root,"June, After Dark",219133
4/5/20 21:00,Bad Suns,One Magic Moment,217333
4/5/20 21:04,The Tragic Thrills,Tears,212560
4/5/20 21:06,Colony House,Silhouettes,104922
4/5/20 21:09,Jimmy Buffett,Cheeseburger In Paradise,171600
4/5/20 21:12,Jimmy Buffett,"Changes In Latitudes, Changes In Attitudes",194466
4/5/20 21:14,Jimmy Buffett,Pencil Thin Mustache,0
4/5/20 21:14,Jimmy Buffett,A Pirate Looks At Forty,452
4/5/20 21:14,Jimmy Buffett,He Went To Paris,696
4/5/20 21:14,Jimmy Buffett,Margaritaville,1149
4/5/20 21:14,Jimmy Buffett,Come Monday,0
4/5/20 21:14,Jimmy Buffett,Grapefruit - Juicy Fruit,801
4/5/20 21:14,Jimmy Buffett,Boat Drinks,0
4/5/20 21:14,Jimmy Buffett,Why Don't We Get Drunk,1010
4/5/20 21:14,Jimmy Buffett,Son Of A Son Of A Sailor,81217
4/5/20 21:17,The Beatles,In My Life - Remastered 2009,2507
4/5/20 21:17,Jimmy Buffett,Come Monday,188093
4/5/20 21:17,Jimmy Buffett,Grapefruit - Juicy Fruit,7441
4/5/20 21:17,The Beatles,Here Comes The Sun - Remastered 2009,1149
4/5/20 21:17,Joni Mitchell,Big Yellow Taxi,3401
4/5/20 21:20,Journey,Any Way You Want It,201866
4/5/20 21:23,Creedence Clearwater Revival,Bad Moon Rising,141600
4/5/20 21:27,Billy Joel,The River of Dreams,247626
4/5/20 21:31,Eagles,Peaceful Easy Feeling - 2013 Remaster,257962
4/5/20 21:38,Eagles,Lyin' Eyes - 2013 Remaster,381998
4/5/20 21:38,Queen,Radio Ga Ga - Live Aid,49754
4/5/20 21:42,Elton John,Your Song,241786
4/5/20 21:47,Billy Joel,My Life,284000
4/5/20 21:50,John Lennon,Imagine - Ultimate Mix,186213
4/5/20 21:53,Queen,Crazy Little Thing Called Love - Remastered 2011,163373
4/5/20 21:59,Elton John,Goodbye Yellow Brick Road - Remastered 2014,192826
4/5/20 22:00,Grateful Dead,Casey Jones - 2013 Remaster,61214
4/5/20 22:03,Queen,Don't Stop Me Now - …revisited,217824
4/5/20 22:04,Steve Miller Band,The Joker,17160
4/5/20 22:07,Shaggy,It Wasn't Me,227600
4/5/20 22:11,Shaggy,All About Love,216640
4/6/20 17:54,Shaggy,Don't Ask Her That,136672
4/6/20 21:22,Audrey Hepburn,Moon River (From Breakfast at Tiffany's) [Remaster...,47263
4/6/20 21:26,Audrey Hepburn,Moon River (From Breakfast at Tiffany's) [Remaster...,10826
4/6/20 21:30,Frank Sinatra,Moon River,199133
4/6/20 21:32,Frank Sinatra,Fly Me To The Moon (In Other Words),147000
4/6/20 21:35,Frank Sinatra,That's Life,187040
4/6/20 21:39,Frank Sinatra,Come Fly With Me - Remastered,199093
4/6/20 21:42,Frank Sinatra,"Theme From New York, New York",204146
4/6/20 21:45,Frank Sinatra,The Way You Look Tonight,202160
4/6/20 21:48,Dean Martin,Ain't That A Kick In The Head,147293
4/6/20 22:04,Dean Martin,That's Amore,102928
4/6/20 22:04,Frank Sinatra,I've Got The World On A String,0
4/6/20 22:06,Elvis Presley,I Got Lucky,115720
4/6/20 22:09,Nat King Cole,When I Fall In Love - Remastered,191200
4/6/20 22:12,Michael Bublé,Nobody but Me,179640
4/6/20 22:14,Dean Martin,Everybody Loves Somebody,161640
4/6/20 22:18,Etta James,A Sunday Kind Of Love,196133
4/6/20 22:21,Carpenters,Top Of The World,179173
4/6/20 22:25,Diana Krall,Feels Like Home,261506
4/6/20 22:28,Nat King Cole,Smile,173266
4/6/20 22:31,Frankie Valli & The Four Seasons,Big Girls Don't Cry,148013
4/6/20 22:34,Michael Bublé,Crazy Little Thing Called Love,189666
4/6/20 22:39,Elvis Presley,Love Me Tender - with The Royal Philharmonic Orche...,205226
4/6/20 22:42,Bobby Darin,Dream Lover,150706
4/6/20 22:44,"Harry Connick, Jr.",It Had to Be You (Big Band and Vocals),158226
4/6/20 22:47,Louis Armstrong,What A Wonderful World - Single Version,139226
4/6/20 22:49,Paul Anka,Put Your Head On My Shoulder,154733
4/6/20 23:24,Frankie Valli & The Four Seasons,"December, 1963 (Oh What a Night!)",197146
4/6/20 23:27,Frank Sinatra,You Make Me Feel So Young - Remastered 1998,177400
4/6/20 23:30,Elvis Presley,Stuck on You,139640
4/6/20 23:33,Michael Bublé,Save the Last Dance for Me,218613
4/6/20 23:36,Sam Cooke,You Send Me,165560
4/6/20 23:39,Frank Sinatra,Young At Heart,174466
4/6/20 23:40,Frank Sinatra,The Lady Is A Tramp - Remastered,68532
4/6/20 23:43,Frank Sinatra,Put Your Dreams Away (For Another Day),186173
4/6/20 23:46,Sam Cooke,Another Saturday Night,160000
4/6/20 23:50,Diana Krall,Let's Fall In Love,258960
4/6/20 23:52,Ella Fitzgerald,It's Only A Paper Moon,104310
4/6/20 23:53,Frank Sinatra,Luck Be A Lady,30325
4/6/20 23:56,Frank Sinatra,I've Got You Under My Skin - Remastered 1998,223760
4/6/20 23:58,Sam Cooke,Bring It On Home to Me,106545
4/7/20 0:03,Decorator,Heart Is a Muscle,262173
4/7/20 0:06,Summer Salt,Candy Wrappers,194418
4/7/20 0:07,Bleachers,Goodmorning,67901
4/7/20 0:18,Suede Silver,Spooky Chills,162083
4/7/20 0:21,Young the Giant,Silvertongue,197426
4/7/20 0:24,Early Eyes,Shake Me Awake,166206
4/7/20 0:27,Trash Panda,Heartbreak Pulsar,177360
4/7/20 0:30,Coast Modern,Guru,204066
4/7/20 0:33,Matt and Kim,Hey Now,169480
4/7/20 0:36,Local Natives,Dark Days,180413
4/7/20 0:40,MisterWives,Our Own House,232186
4/7/20 0:46,Magic City Hippies,Limestone,209164
4/7/20 0:50,Young the Giant,Apartment,235800
4/7/20 0:56,Lapalux,Don't Mean A Thing,348741
4/7/20 0:57,Tyrone Briggs,Get on Up,68284
4/7/20 1:01,Kishi Bashi,Honeybody,266453
4/7/20 1:05,Julian Casablancas,11th Dimension,243333
4/7/20 1:09,Undecided Future,Intoxicated,206500
4/7/20 1:12,Muse,Starlight,193345
4/7/20 1:15,Bleachers,Hate That You Know Me,185853
4/7/20 1:19,Magic Bronson,Evil Plans,220648
4/7/20 1:22,Vacation Manor,A Toast and a Spirit,209453
4/7/20 1:27,fun.,Some Nights,277040
4/7/20 1:28,Mainland,I Found God,58370
4/7/20 1:28,Quinn XCII,Good Thing Go,17365
4/7/20 1:32,Coast Modern,Dive,208306
4/7/20 1:38,The Mowgli's,Kansas City,182092
4/7/20 1:41,BØRNS,Electric Love,218106
4/7/20 1:45,Jukebox The Ghost,Victoria,224373
4/7/20 21:54,Brother Moses,Older,62647
4/7/20 21:58,Elton John,Goodbye Yellow Brick Road - Remastered 2014,192826
4/7/20 22:06,Don McLean,American Pie,516893
4/7/20 22:09,The Beatles,Here Comes The Sun - Remastered 2009,185733
4/7/20 22:13,Billy Joel,Vienna,214240
4/7/20 22:15,Paul Simon,Me and Julio Down by the Schoolyard,113922
4/7/20 22:18,Elton John,I'm Still Standing,183440
4/7/20 22:41,Lobo,Me and You and a Dog Named Boo,91727
4/7/20 22:42,Eminem,Yellow Brick Road,69752
4/7/20 22:46,Fort Minor,Remember the Name (feat. Styles of Beyond),230493
4/7/20 22:49,The Score,Legend,189120
4/7/20 22:54,Kanye West,Stronger,311866
4/8/20 1:26,Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",326466
4/8/20 1:27,Miley Cyrus,Party In The U.S.A.,4061
4/8/20 1:30,The Score,Unstoppable,192106
4/8/20 1:33,B.o.B,Magic (feat. Rivers Cuomo),196133
4/8/20 1:34,Hailee Steinfeld,You're Such A,74529
4/8/20 1:34,Sara Bareilles,Love Song,975
4/8/20 1:34,Train,Play That Song,731
4/8/20 1:34,American Authors,What We Live For,1996
4/8/20 1:38,The Score,Higher,214613
4/8/20 1:42,Fall Out Boy,Centuries,228360
4/8/20 1:45,Royal Deluxe,Dangerous,220173
4/8/20 1:49,Zayde Wølf,Gladiator,188333
4/8/20 1:52,Welshly Arms,Legendary,232173
4/8/20 1:56,The Phantoms,Watch Me,214874
4/8/20 2:01,Eminem,'Till I Collapse,297786
4/8/20 2:04,Sam Tinnesz,Legends Are Made,169758
4/8/20 2:07,Imagine Dragons,Believer,204346
4/8/20 2:10,Oh The Larceny,Can't Stop Me Now,180505
4/8/20 2:13,Panic! At The Disco,The Greatest Show,174306
4/8/20 2:16,Andy Grammer,Keep Your Head Up,189933
4/8/20 2:21,Rascal Flatts,Life is a Highway,276320
4/8/20 2:23,Jonas Brothers,Lovebug,111323
4/8/20 2:26,Sam Hunt,Body Like A Back Road,162546
4/8/20 2:29,The Score,Going Home,198480
4/8/20 2:32,AJR,100 Bad Days,212783
4/8/20 2:36,American Authors,Deep Water,198093
4/8/20 2:39,Imagine Dragons,Mouth Of The River,221560
4/8/20 2:42,Scotty Sire,Sad Song,179969
4/8/20 20:10,Sara Bareilles,Love Song,81272
4/8/20 20:39,Bobby McFerrin,Don't Worry Be Happy,293363
4/8/20 20:44,Charles Trenet,La mer,201840
4/8/20 20:44,Fred Astaire,Puttin' on the Ritz,19029
